date,exdate,cp_flag,strike_price,best_bid,best_offer,exercise_style
20201201,20201218,C,100000,3547.6,3570.5,E
20201201,20201218,C,200000,3447.6,3470.5,E
20201201,20201218,C,300000,3347.7,3370.6,E
20201201,20201218,C,400000,3247.7,3270.6,E
20201201,20201218,C,500000,3147.7,3170.6,E
20201201,20201218,C,600000,3054.1,3066.8,E
20201201,20201218,C,650000,3004.2,3016.8,E
20201201,20201218,C,700000,2954.2,2966.8,E
20201201,20201218,C,750000,2904.2,2916.8,E
20201201,20201218,C,800000,2854.1,2866.8,E
20201201,20201218,C,850000,2804.2,2816.9,E
20201201,20201218,C,900000,2754.2,2766.9,E
20201201,20201218,C,950000,2704.2,2716.9,E
20201201,20201218,C,1000000,2654.2,2666.9,E
20201201,20201218,C,1050000,2604.2,2616.9,E
20201201,20201218,C,1100000,2554.3,2566.9,E
20201201,20201218,C,1150000,2504.3,2516.9,E
20201201,20201218,C,1200000,2454.3,2466.9,E
20201201,20201218,C,1225000,2429.3,2442.0,E
20201201,20201218,C,1250000,2404.3,2417.0,E
20201201,20201218,C,1275000,2379.3,2392.0,E
20201201,20201218,C,1300000,2354.3,2367.0,E
20201201,20201218,C,1325000,2329.3,2342.0,E
20201201,20201218,C,1350000,2304.3,2317.0,E
20201201,20201218,C,1375000,2279.3,2292.0,E
20201201,20201218,C,1400000,2254.3,2267.0,E
20201201,20201218,C,1425000,2229.3,2242.0,E
20201201,20201218,C,1450000,2204.4,2217.0,E
20201201,20201218,C,1475000,2179.4,2192.0,E
20201201,20201218,C,1500000,2154.4,2167.0,E
20201201,20201218,C,1525000,2129.4,2142.0,E
20201201,20201218,C,1550000,2104.4,2117.1,E
20201201,20201218,C,1575000,2079.4,2092.1,E
20201201,20201218,C,1600000,2054.4,2067.1,E
20201201,20201218,C,1625000,2029.4,2042.1,E
20201201,20201218,C,1650000,2004.4,2017.1,E
20201201,20201218,C,1675000,1979.4,1992.1,E
20201201,20201218,C,1700000,1954.4,1967.1,E
20201201,20201218,C,1725000,1929.5,1942.1,E
20201201,20201218,C,1750000,1904.5,1917.1,E
20201201,20201218,C,1775000,1879.5,1892.1,E
20201201,20201218,C,1800000,1854.5,1867.1,E
20201201,20201218,C,1825000,1829.5,1842.2,E
20201201,20201218,C,1850000,1804.5,1817.2,E
20201201,20201218,C,1875000,1779.5,1792.2,E
20201201,20201218,C,1900000,1754.5,1767.2,E
20201201,20201218,C,1925000,1729.5,1742.2,E
20201201,20201218,C,1950000,1704.6,1717.2,E
20201201,20201218,C,1975000,1679.6,1692.2,E
20201201,20201218,C,2000000,1654.6,1667.3,E
20201201,20201218,C,2025000,1629.6,1642.2,E
20201201,20201218,C,2050000,1604.6,1617.3,E
20201201,20201218,C,2075000,1579.6,1592.3,E
20201201,20201218,C,2100000,1554.7,1567.3,E
20201201,20201218,C,2125000,1529.7,1542.3,E
20201201,20201218,C,2150000,1504.7,1517.3,E
20201201,20201218,C,2175000,1479.7,1492.4,E
20201201,20201218,C,2200000,1454.7,1467.4,E
20201201,20201218,C,2225000,1429.8,1442.4,E
20201201,20201218,C,2250000,1404.8,1417.4,E
20201201,20201218,C,2260000,1394.8,1407.4,E
20201201,20201218,C,2270000,1384.8,1397.4,E
20201201,20201218,C,2275000,1379.8,1392.5,E
20201201,20201218,C,2280000,1374.8,1387.4,E
20201201,20201218,C,2290000,1364.8,1377.5,E
20201201,20201218,C,2300000,1354.8,1367.5,E
20201201,20201218,C,2310000,1344.8,1357.5,E
20201201,20201218,C,2320000,1334.9,1347.5,E
20201201,20201218,C,2325000,1329.9,1342.5,E
20201201,20201218,C,2330000,1324.9,1337.5,E
20201201,20201218,C,2340000,1314.9,1327.5,E
20201201,20201218,C,2350000,1304.9,1317.5,E
20201201,20201218,C,2360000,1294.9,1307.5,E
20201201,20201218,C,2370000,1284.9,1297.5,E
20201201,20201218,C,2375000,1279.9,1292.5,E
20201201,20201218,C,2380000,1274.9,1287.6,E
20201201,20201218,C,2390000,1264.9,1277.6,E
